Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
3150 Wilshire Blvd,"['Energy Efficient Under Cabinet Lighting', 'Floor-To-Ceiling Windows with Views', 'Kenmore Elite Stainless-Steel Appliances', 'On-Site Management & 24-Hour Maintenance Team', 'Resident Portal With Online Rent Payment & Service', 'Sprawling Activity Lawn', 'Firepit & Seating Areas', 'Natural Gas Oven and Range', 'Timeless Finishes in Multiple Offerings', '9’ Ceilings', 'Club Room with Billiards', 'Hardwood Vinyl Plank Flooring', 'Kitchen Islands with Seating', 'Sparkling 127’ Resort Style Infinity Pool', 'Bosch Washers & Dryers', 'Conveniently Pay Rent On Your Own Schedule With FL', 'European Style Two Tone Cabinetry', 'Luxurious Hot Tub', 'Rooftop Grilling & Dining Areas', 'Bark Park', 'Spacious Walk-In closets', 'State-of-the-Art Fitness Center', 'Electric Vehicle Charging Stations', 'Granite Countertops with Modern Subway Tile Backsp', 'Sun-Drenched Pool Deck with Lounge Chairs', '24/7 Security & Concierge', 'Concierge', 'Fitness Center', 'Spa', 'Pool', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Security System', 'Storage Space', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Carpet', 'Skylights', 'Walk-In Closets', 'Window Coverings', 'Deck', 'Lawn']",Koreatown,https://www.apartments.com/koreatown-los-angeles-ca/,vlvglee,The Vermont,https://www.apartments.com/the-vermont-los-angeles-ca/vlvglee/,5.0,verified,0
1200 S Figueroa St,"['Washer/Dryer', 'Elliptical Resort-Style Pool and Sundeck', 'Outdoor Yoga and Pilates Space', 'Outdoor Fireplaces and Gathering Spaces', 'Resident Lounge and Tasting Room', 'Co-Work Space and Tech Center', 'Indoor-Outdoor Lounge and Bar', 'Outdoor Grills with Open-Air Dining', 'Stainless Steel Appliance', 'Private Poolside Cabanas', 'Cycling Studio with On-Demand Classes', 'Entertaining Kitchen and Private Dining Room', 'Large and Small Dog Parks', 'Pet Lounge with Grooming Area', 'Secured Bicycle Storage', 'Viewing Deck with Skyline Views', 'Concierge', 'Lounge', 'Fitness Center', 'Pool', 'Sundeck', 'Washer/Dryer', 'Dishwasher', 'Kitchen', 'Microwave', 'Refrigerator', 'Dining Room', 'Deck']",Downtown Los Angeles,https://www.apartments.com/downtown-los-angeles-los-angeles-ca/,ss4bxl4,Circa LA,https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,4.7,verified,0
3333 S La Cienega Blvd,"['Screening Room with Bar Area', 'Stacked Electrolux front load washers & dryers', 'Zocalo Park', 'Private Dining Room & Bar', 'Wireless Bluetooth entry locks', 'Co-working Lounge & Conference Rooms', 'Modern soft-close Italian style cabinetry', 'Frigidaire Gallery & Samsung appliances', 'Quartz countertops', 'Floor-to-ceiling windows with roll-down shades', 'Spacious walk-in closets', 'Luxury vinyl plank flooring in living areas', 'Recording Studio', 'Pet Wash & Grooming Spa', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Concierge', 'On-Site Retail', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Fitness Center', 'Spa', 'Pool', 'Gated', 'Washer/Dryer', 'Dishwasher', 'Stainless Steel Appliances', 'Quartz Countertops', 'Dining Room', 'Walk-In Closets']",West Adams,https://www.apartments.com/west-adams-los-angeles-ca/,nn0qytn,VOX,https://www.apartments.com/vox-los-angeles-ca/nn0qytn/,4.6,verified,0
160 S Virgil Ave,"['Outdoor Game Room', 'Shuffle Boards', 'Balconies* select homes', 'BBQ Areas', 'Controlled access entry', 'Ceiling fans in bedrooms', 'Designer Lighting And Fixtures Package', 'On-site laundry facilities', '2 Courtyards', 'A/C Unit', 'On-Site Laundry', 'Single Deep-Bowl Kitchen Sink', 'Balconies *In Select Homes', 'Indoor/Outdoor Resident Clubhouse', 'In-wall A/C and heating', 'Pool/Billiards Table', 'Scenic Mountains And City Scape View', '3 Fitness centers', 'Designer Shaker-Style Cabinetry', 'LVP Tile in Bathroom*', 'Mirrored Sliding Closet Doors*', 'Open floorplan', 'Outdoor Lounge', 'Quartz Kitchen & Bathroom Countertops', 'Recreation Room', '2 Fire Pits', '24-hour video monitoring', 'Ceiling Fans and Dining Room Pendant Light', 'Freshly Painted Interiors', 'Gated parking garage', 'Large Private Balcony/Patio', 'On-site Storage', 'Wifi Cafe And Lounge', 'WiFi Lounge', 'Wood-like flooring', 'Business center and common area WIFI', 'Cabinets with Soft-Close Hinges*', 'In-wall A/C and heating unit', 'Luxury Plank Flooring', 'Outdoor Fitness Area', 'Pet Friendly – no weight restrictions!', 'Quartz Countertops', 'Stainless Steel Appliances', 'Wall-To-Wall Closet W/Mirrored Sliders', 'Package Service', 'Community-Wide WiFi', 'Wi-Fi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Video Patrol', 'Recycling', 'Renters Insurance Program', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'EV Charging', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Hot Tub', 'Spa', 'Pool', 'Bicycle Storage', 'Gameroom', 'Media Center/Movie Theatre', 'Gated', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Intercom', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Recreation Room', 'Views', 'Walk-In Closets', 'Linen Closet', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio']",Koreatown,https://www.apartments.com/koreatown-los-angeles-ca/,rfx7km0,Violet on Virgil,https://www.apartments.com/violet-on-virgil-los-angeles-ca/rfx7km0/,5.0,verified,0
801 S Hope St,"['Dual Sink', 'Pet Play Area', 'Stainless Steel Appliances', 'Keyless Entry', 'Movie Theater', 'Nest thermostat', 'Granite Countertop1', 'Front Load Washer & Dryer in Unit', 'Rooftop w Indoor/Outdoor', 'Wood-style Flooring', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Concierge', '24 Hour Access', 'On-Site ATM', 'Hearing Impaired Accessible', 'Vision Impaired Accessible', 'Recycling', 'Renters Insurance Program', 'Online Services', 'Pet Play Area', 'EV Charging', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Spa', 'Pool', 'Media Center/Movie Theatre', 'Roof Terrace', 'Individual Locking Bedrooms', 'Private Bathroom', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Trash Compactor', 'Storage Space', 'Tub/Shower', 'Handrails', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Dining Room', 'High Ceilings', 'Den', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio']",Downtown Los Angeles,https://www.apartments.com/downtown-los-angeles-los-angeles-ca/,spddm74,Josephine DTLA,https://www.apartments.com/josephine-dtla-los-angeles-ca/spddm74/,4.9,verified,0
2424 Wilshire Blvd,"['Newly Renovated. Lg Front Load W/d.', 'Open Floorplans', 'Updated Bathrooms', 'Newly Renovated Interiors Available', 'Appliances Vary By Apartment', 'Washer And Dryer In Select Homes', 'Select Homes Have Been Fully Renovated', 'Microwave', 'New Flooring, New Kitchen, New Bathroom.', '3 Closets. Large Open Floorplan.', 'Historic Building', 'Remodeled Apartment Homes', 'Updated Kitchens', 'Package Service', 'Wi-Fi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', '24 Hour Access', 'Recycling', 'Renters Insurance Program', 'Planned Social Activities', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Disposal Chutes', 'Vintage Building', 'Conference Rooms', 'Fitness Center', 'Gameroom', 'Media Center/Movie Theatre', 'Gated', 'Fenced Lot', 'Courtyard', 'Study Lounge', 'Individual Leases Available', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Security System', 'Storage Space', 'Double Vanities', 'Tub/Shower', 'Fireplace', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Tile Floors', 'Vinyl Flooring', 'Dining Room', 'High Ceilings', 'Family Room', 'Den', 'Built-In Bookshelves', 'Crown Molding', 'Views', 'Walk-In Closets', 'Window Coverings', 'Wet Bar', 'Large Bedrooms']",Koreatown,https://www.apartments.com/koreatown-los-angeles-ca/,srzzfj7,Park Wilshire,https://www.apartments.com/park-wilshire-los-angeles-ca/srzzfj7/,4.4,verified,0
3688 Overland Ave,"['Community management staff', 'Heated Dipping Pool', 'Wifi throughout all common areas', 'Electronic Window Shades', 'Nest Thermostats', 'Rooftop Clubhouse', 'Smart Lights', '1500 SF Fitness Center with Technogym Equipment', 'Conference Room', 'Front Desk', 'Ground-level retail', 'EV car charging stations', 'Parcel delivery services', 'Rooftop BBQ and vegetable garden', 'Rooftop Dipping Pool and Lounge', 'Rooftop Lounge', 'Community-Wide WiFi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Video Patrol', '24 Hour Access', 'Recycling', 'Online Services', 'Planned Social Activities', 'EV Charging', 'Key Fob Entry', 'Elevator', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Pool', 'Bicycle Storage', 'Roof Terrace', 'Sundeck', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Security System', 'Tub/Shower', 'Sprinkler System', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Views', 'Walk-In Closets', 'Double Pane Windows', 'Window Coverings', 'Balcony']",Greater Culver City,https://www.apartments.com/greater-culver-city-los-angeles-ca/,ggrmm7x,Venue Residences,https://www.apartments.com/venue-residences-los-angeles-ca/ggrmm7x/,5.0,verified,0
1010 Wilshire Blvd,"['Corporate Housing', 'Storefront Lofts', 'Parking Service', 'Roman Tubs', 'Sauna', 'Attended Lobby', 'Swimming Pool', 'Theater Room', 'Rooftop View', 'Package Service', 'Community-Wide WiFi', 'Wi-Fi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Doorman', 'Concierge', 'Video Patrol', '24 Hour Access', 'Furnished Units Available', 'Shuttle to Train', 'On-Site ATM', 'On-Site Retail', 'Recycling', 'Dry Cleaning Service', 'Laundry Service', 'Maid Service', 'Planned Social Activities', 'Health Club Discount', 'EV Charging', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Breakfast/Coffee Concierge', 'Disposal Chutes', 'Conference Rooms', 'Corporate Suites', 'Fitness Center', 'Sauna', 'Spa', 'Pool', 'Bicycle Storage', 'Walking/Biking Trails', 'Gameroom', 'Media Center/Movie Theatre', 'Gated', 'Roof Terrace', 'Sundeck', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Satellite TV', 'Security System', 'Storage Space', 'Tub/Shower', 'Fireplace', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Coffee System', 'Instant Hot Water', 'Hardwood Floors', 'Dining Room', 'Family Room', 'Office', 'Recreation Room', 'Den', 'Built-In Bookshelves', 'Crown Molding', 'Views', 'Walk-In Closets', 'Linen Closet', 'Furnished', 'Loft Layout', 'Double Pane Windows', 'Window Coverings', 'Deck']",City West,https://www.apartments.com/city-west-los-angeles-ca/,337dtrf,TENTEN WILSHIRE,https://www.apartments.com/tenten-wilshire-los-angeles-ca/337dtrf/,4.9,verified,0
1026 S Broadway,"['Indoor Basketball Court', 'Washer and Dryer in Home', 'Parking', 'Rooftop Pool and Entertainment Lounge', 'Stainless Steel Sink with Pull-out Faucet', ""Director's Screening Room"", 'Resort Style Pool and Spa with Shade Trellis', 'Satellite Ready', 'All Stainless Steel Appliances', 'Washer/Dryer In Unit', 'Personal Wi-Fi Hot Spots', 'Private Balconies and Patios with Furniture', 'Serenity Garden Patio with Skyline Views', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Furnished Units Available', 'On-Site ATM', 'Recycling', 'Renters Insurance Program', 'Dry Cleaning Service', 'Planned Social Activities', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Sauna', 'Spa', 'Pool', 'Bicycle Storage', 'Basketball Court', 'Volleyball Court', 'Putting Greens', 'Gameroom', 'Media Center/Movie Theatre', 'Gated', 'Roof Terrace', 'Sundeck', 'Courtyard', 'Grill', 'Zen Garden', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Trash Compactor', 'Tub/Shower', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Vinyl Flooring', 'Dining Room', 'Office', 'Recreation Room', 'Crown Molding', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Linen Closet', 'Furnished', 'Loft Layout', 'Double Pane Windows', 'Window Coverings', 'Balcony', 'Patio']",South Park,https://www.apartments.com/south-park-los-angeles-ca/,38jgl5g,Broadway Palace,https://www.apartments.com/broadway-palace-los-angeles-ca/38jgl5g/,4.5,verified,0
1425 N Alta Vista Blvd,"['Refrigerator', 'Spa', 'Complementary Coffee And Snacks', 'Gas Range', 'Sitting Area In Lobby With Free Wifi', 'Washer/Dryer', 'Air Conditioner', 'Cable Ready', 'Sound Proof Room', 'Well-Appointed Interiors', 'Disposal', 'Dishwasher', 'Fireplace', 'Microwave', 'Hardwood Floors', 'Patio/Balcony', 'Pet Friendly', 'Package Service', 'Community-Wide WiFi', 'Wi-Fi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Furnished Units Available', 'Online Services', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Elevator', 'Business Center', 'Storage Space', 'Disposal Chutes', 'Fitness Center', 'Spa', 'Pool', 'Gated', 'Courtyard', 'Grill', 'Roommate Matching', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Fireplace', 'Intercom', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Family Room', 'Walk-In Closets', 'Linen Closet', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio', 'Lawn']",Los Angeles,https://www.apartments.com/los-angeles-ca/,wpy01fh,URBANLUX SUNSET PREMIUM,https://www.apartments.com/urbanlux-sunset-premium-los-angeles-ca/wpy01fh/,5.0,verified,0
