Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
7828 SE Aspen Summit Dr,"['Kitchen Pantries*', 'Assigned Carports', 'Assigned Carports*', 'Built-In Desks*', 'Package receiving service', 'Upgraded Clubhouse with Coffee Bar', 'Vaulted Ceilings In Select Units', 'Virtual Tours Available', 'Forest Views*', 'One-of-a-Kind Amphitheater', 'Other', 'Outdoor Entertainment Kitchen and Lounge', 'Ceiling Fans*', 'Individual Climate Control', 'Stainless Steel Appliance Packages*', 'Brand-New 24-Hour Fitness Studio', 'Detached Garages*', 'Outdoor sport court', 'Resort Inspired Pool', 'Self-Guided Tours Available', 'Walking Distance to Public Transportation', 'Wired for High-Speed Cable and Internet', '* - Select Units Only', 'Large Kitchens with Ample Cabinet Space', 'Nightly Courtesy Patrol', 'Spacious Walk-In Closets', 'Wi-Fi', 'Property Manager on Site', 'Recycling', 'Car Wash Area', 'Clubhouse', 'Lounge', 'Fitness Center', 'Pool', 'Playground', 'Walking/Biking Trails', 'High Speed Internet Access', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Range', 'Refrigerator', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Balcony', 'Patio']",Lents,https://www.apartments.com/lents-portland-or/,td7s0n8,Scott Mountain,https://www.apartments.com/scott-mountain-portland-or/td7s0n8/,5.0,verified,0
4835 SW Oleson Rd,"['Picnic/bbq Area', 'View-Grnblt', '24-Hour Emergency Maintenance', 'Feat-W/d', 'Laundry Center', 'Modern White Cabinets', 'Feat-A/c', 'Loc-Neg', 'On-Site Management', 'Sf3b 151-200', 'Terrace', 'Classic 0x1', 'R-Lc-Plt-2b', 'Courtyard', 'Fl-Lc-All-2b', 'Multi-Million Dollar Renovation Underway', 'Stainless Steel Appliance Packages', 'View-Neg1', 'Brushed Nickel Finishes', 'Picnic Area', 'Private Outdoor Space', 'Reserved Parking Available', 'Resort-Style Pool', 'R-Lc--2b', 'Scenic Views', 'Sf1b 26-50', 'Sf2b 26-150', 'Slate Countertops', 'Washer/dryer In 3 Bed Units', 'Wood-Style Flooring', 'Laundry In Unit', 'Lvl-Top-1b', 'Online Payments & Service Requests', 'View-Wooded', 'Washer/dryer In 2 Bed 1050 Sf Units', 'Lvl-Top-2b', 'R-P1-Gld-2b', 'Sf2b 76-100', 'Maintenance on site', 'Fitness Center', 'Sauna', 'Pool', 'Washer/Dryer', 'Air Conditioning', 'Ceiling Fans', 'Fireplace']",Raleigh Hills,https://www.apartments.com/raleigh-hills-portland-or/,4zvyhrh,Montclair Terrace,https://www.apartments.com/montclair-terrace-portland-or/4zvyhrh/,4.1,verified,0
3650 SE 29th Ave,"['New Construction', 'Plaza / Courtyard With Fire Pit', 'Stainless Steel Appliances', 'Large Closets*', 'Off Street Parking', 'Open Space', 'Patio/Balcony', 'Ceiling Fans*', 'Modern Subway Tile in Kitchen', 'Parking', 'Patio or Balcony*', 'Pet And Bike Wash Station', 'Recycling', 'Disposal', 'Night Patrol', 'Ceiling Fan*', 'Exposed Wood Beams In Vaulted Ceilings *', 'Green Lawn Game Space/ Play Space', 'High Ceilings', 'Refrigerator', 'View*', '*Select Homes', 'Air Conditioner', 'Cable Ready', 'Concrete Flooring *', 'Courtyard with Firepit', 'Furnished Apartments*', 'Quality, Durable Finishes', 'Energy Efficient Design', 'Exposed Wood Beams in Living Room', 'Patio/Balcony*', 'Rooftop Lounge with Fireplace', 'Top Floor Community Lounges', 'Washer/Dryer', 'BBQ/Picnic Area', 'Beautiful View Of Portland & West Hills*', 'Cast Iron Tubs In All Homes', 'Dishwasher', 'Island Kitchen*', 'Microwave', 'Modern Kitchen Fixtures', 'Top floor community space/view', 'View', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Furnished Units Available', 'Recycling', 'Renters Insurance Program', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Lounge', 'Bicycle Storage', 'Roof Terrace', 'Sundeck', 'Courtyard', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Fireplace', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Office', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Furnished', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio', 'Porch', 'Lawn']",Creston-Kenilworth,https://www.apartments.com/creston-kenilworth-portland-or/,pw6lsvs,Sunshine Portland,https://www.apartments.com/sunshine-portland-portland-or/pw6lsvs/,4.8,verified,0
2020 NE Multnomah St,"['Electic Car Charging Stations', 'Gated Electronic Entrance', 'Wifi And Comfortable Seating', 'Wifi Available', 'Close to Park', 'On-Site Guest Suite', 'Package Delivery System', 'Pet Lounge with Indoor Relief Area', 'Built in Shelving', 'Custom Soft Close Cabinetry', 'Extra Storage', 'Onsite Management', 'Two Decks with BBQ', '$0 Deposit Option', 'Bike Lounge With Wifi', 'Bike Storage with Lounge & Repair Area', 'Bosch Appliances', 'Condominium Grade Construction', 'Floor to Ceiling Windows', 'Incredible Mountain And City Views', 'Onsite Storage Available', 'Soft-Close Cabinetry', 'Close to Dog Park', 'Deep Soaking Tubs', 'Premium Hardwood Floors', 'Two Outdoor Social Areas With Fire Table', 'Bike Racks', 'European Convection', 'Indoor Pet Relief Area', 'Recycling Center', 'Underground Parking', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Recycling', 'Renters Insurance Program', 'Dry Cleaning Service', 'Laundry Service', 'Grocery Service', 'Online Services', 'Planned Social Activities', 'Guest Apartment', 'Pet Care', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Lounge', 'Breakfast/Coffee Concierge', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Bicycle Storage', 'Gated', 'Sundeck', 'Courtyard', 'Grill', 'Picnic Area', 'Zen Garden', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Satellite TV', 'Trash Compactor', 'Storage Space', 'Double Vanities', 'Tub/Shower', 'Fireplace', 'Intercom', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Dining Room', 'Family Room', 'Office', 'Den', 'Built-In Bookshelves', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio', 'Porch', 'Deck', 'Garden']",Portland,https://www.apartments.com/portland-or/,qc198tx,The Payton,https://www.apartments.com/the-payton-portland-or/qc198tx/,4.8,verified,0
735 SW Saint Clair Ave,"['24 Hour Package Locker', 'Custom cabinetry', 'Energy-efficient, stainless steel appliances', 'Share the air: smoke-free community', 'Climate controlled building', 'East Freeway Access', 'Separate shower with glass enclosure*', 'Upgraded countertops', 'Close to Washington Park', 'Walk-in closet*', 'Wood-style plank flooring in the living spaces', 'Walking Distance To Zupans', 'Secured bike locker w/key pad entry', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', '24 Hour Access', 'On-Site Retail', 'Recycling', 'Renters Insurance Program', 'Public Transportation', 'Elevator', 'Business Center', 'Lounge', 'Storage Space', 'Fitness Center', 'Bicycle Storage', 'Media Center/Movie Theatre', 'Gated', 'Grill', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Intercom', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Patio', 'Deck']",Goose Hollow,https://www.apartments.com/goose-hollow-portland-or/,6gsj2qr,735 St. Clair,https://www.apartments.com/735-st-clair-portland-or/6gsj2qr/,4.9,verified,0
1720 SW 4th Ave,"['Cable Ready', 'Efficient Appliances', 'Heat', 'Electronic Thermostat', 'Hardwood & Plank Vinyl in Select Homes', 'Package Board', 'Recycling', 'Additional Storage', 'Range', 'Accepts Credit Card Payments', 'Disposal', 'Extra Storage', 'Large Closets', 'Night Patrol', '1 Smoker', 'Off Street Parking', 'Storage', 'Washer/Dryer', 'Air Conditioner', 'Carpet in Select Homes', 'Grilling Station and Picnic Area', 'High Ceilings', 'Refrigerator', 'Smoke Free Building', 'Wheelchair Access', 'Accepts Electronic Payments', 'BBQ/Picnic Area', 'Courtyard', 'Dishwasher', 'Individual Climate Control', 'Microwave', 'View', 'Window Coverings', 'Green Building', 'Patio/Balcony', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Dry Cleaning Service', 'Public Transportation', 'Elevator', 'Business Center', 'Clubhouse', 'Fitness Center', 'Putting Greens', 'Walking/Biking Trails', 'Gated', 'Courtyard', 'Grill', 'Picnic Area', 'Walk To Campus', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Tile Floors', 'Views']",Waterfront,https://www.apartments.com/waterfront-portland-or/,hjsnmt2,Cyan/PDX,https://www.apartments.com/cyan-pdx-portland-or/hjsnmt2/,0,verified,0
3255 SE 17th Ave,"['Bike Racks', 'Patio/Balcony In Select Homes', 'Ceiling Fan', 'High Ceilings', 'Extra Storage', 'Fitness Center', 'Online Payments and Maintenance Portal', 'City or Mt. Hood Views', 'Microwave', 'Modern Appliances', 'Cable Ready', 'Rooftop Patio', 'Storage Lockers Available', 'Laundry Facilities', 'Controlled Access', '24 Hour Access', 'Online Services', 'Public Transportation', 'Elevator', 'Lounge', 'Fitness Center', 'Gated', 'Roof Terrace', 'High Speed Internet Access', 'Heating', 'Cable Ready', 'Tub/Shower', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Window Coverings']",Brooklyn,https://www.apartments.com/brooklyn-portland-or/,4p0psyl,Dean River,https://www.apartments.com/dean-river-portland-or/4p0psyl/,4.9,verified,0
3956 N Vancouver Ave,"['Floor-to-ceiling Tile Showers', 'Frameless Glass Shower Door', 'Backlit Bathroom Mirror', 'Oversized Windows', 'Private Balcony', 'Quartz Countertops', 'Walk-in Closet', 'White Oak Hardwood Floors Throughout', 'Gas Range', 'Package Service', 'Community-Wide WiFi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Video Patrol', '24 Hour Access', 'On-Site Retail', 'Online Services', 'Key Fob Entry', 'Elevator', 'Lounge', 'Disposal Chutes', 'Bicycle Storage', 'Roof Terrace', 'Grill', 'Picnic Area', 'Individual Locking Bedrooms', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Dining Room', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Double Pane Windows', 'Window Coverings', 'Balcony']",Boise,https://www.apartments.com/boise-portland-or/,p4k1d1s,Solace,https://www.apartments.com/solace-portland-or/p4k1d1s/,4.8,verified,0
1140 SW Washington St,"['Juliet and Exterior Balconies (in select units)', 'Walk In Custom Closets (in select units)', 'White Oak Hardwood Floors', 'Gas Range', 'Secured Bike Storage and Lockers', 'Ultra High-Speed Intranet', 'Quartz or Stone Countertops and Backsplashes', 'High Ceilings', 'Keyless Electronic Apartment Unit Entries', 'Nest Thermostats', '25th Floor Fireside Retreat', 'Soft Close Drawer Slides', 'Package Lockers', 'MERV 13 Filters for Premium Air Quality', 'Package Lockers with Refrigerated Storage', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Concierge', '24 Hour Access', 'On-Site Retail', 'Recycling', 'Renters Insurance Program', 'Pet Washing Station', 'EV Charging', 'Car Wash Area', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Disposal Chutes', 'Corporate Suites', 'Fitness Center', 'Spa', 'Pool', 'Bicycle Storage', 'Gated', 'Roof Terrace', 'Sundeck', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Smoke Free', 'Storage Space', 'Double Vanities', 'Tub/Shower', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Range', 'Refrigerator', 'Freezer', 'Gas Range', 'Hardwood Floors', 'High Ceilings', 'Views', 'Walk-In Closets', 'Double Pane Windows', 'Window Coverings']",Portland,https://www.apartments.com/portland-or/,3rkwnse,Residences at 11W,https://www.apartments.com/residences-at-11w-portland-or/3rkwnse/,5.0,verified,0
5745 SW Oleson Rd,"['Maintenance on site', 'Property Manager on Site', 'Storage Space', 'Fitness Center', 'Pool', 'Picnic Area', 'Pond', 'Dog Park', 'Washer/Dryer', 'Heating', 'Fireplace', 'Dishwasher', 'Balcony', 'Patio']",Raleigh Hills,https://www.apartments.com/raleigh-hills-portland-or/,nmdd0tn,Habitat,https://www.apartments.com/habitat-portland-or/nmdd0tn/,4.0,verified,0
